STATE,AVG_TOTAL_NURSING_HPRD,AVG_RN_HPRD,AVG_LPN_HPRD,AVG_CNA_HPRD,AVG_TOTAL_TURNOVER_PCT,AVG_RN_TURNOVER_PCT,AVG_FINES_COUNT,AVG_FINE_AMOUNT,PROCESSING_DATE,_LOAD_TIME
SC,3.89128,0.65709,1.01,2.23,49.4,45.5,1.8,28408,2024-10-01,2026-03-09 08:58:02.593
SD,3.7886,0.79635,0.48,2.52,50.4,34.9,1.3,17185,2024-10-01,2026-03-09 08:58:02.593
TN,3.77867,0.59811,1.11,2.07,49.7,43.2,1.1,36879,2024-10-01,2026-03-09 08:58:02.593
TX,3.36617,0.41033,1,1.96,52.8,51.2,2.3,52224,2024-10-01,2026-03-09 08:58:02.593
UT,3.9906,1.14502,0.52,2.32,56.9,47,1.7,30463,2024-10-01,2026-03-09 08:58:02.593
VA,3.75418,0.66789,1.01,2.08,51.2,49.7,1,21307,2024-10-01,2026-03-09 08:58:02.593
VT,4.12414,0.79649,0.89,2.44,61.9,48.1,1.3,54113,2024-10-01,2026-03-09 08:58:02.593
WA,4.37308,0.90073,0.85,2.62,50.9,48.2,2.1,78460,2024-10-01,2026-03-09 08:58:02.593
WI,4.02456,0.95177,0.62,2.46,49.5,42.5,1.7,47494,2024-10-01,2026-03-09 08:58:02.593
WV,3.64137,0.71626,0.91,2.01,48,40.4,1,27956,2024-10-01,2026-03-09 08:58:02.593
WY,3.96093,0.93066,0.53,2.5,54.3,44.4,2.4,23224,2024-10-01,2026-03-09 08:58:02.593
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
